transaction_id,total,at,payment_method,truck_name,truck_description,has_card_reader,fsa_rating
3,700.0,2025-10-19 09:29:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
5,700.0,2025-10-19 10:11:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
6,700.0,2025-10-19 10:20:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
10,940.0,2025-10-19 11:01:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
13,869.0,2025-10-19 11:12:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
14,700.0,2025-10-19 11:19:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
16,700.0,2025-10-19 11:23:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
17,700.0,2025-10-19 11:24:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
19,700.0,2025-10-19 11:31:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
21,700.0,2025-10-19 11:35:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
23,1019.0,2025-10-19 11:47:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
26,950.0,2025-10-19 11:54:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
28,700.0,2025-10-19 12:02:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
30,700.0,2025-10-19 12:04:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
31,860.0,2025-10-19 12:05:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
33,700.0,2025-10-19 12:08:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
34,700.0,2025-10-19 12:10:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
35,700.0,2025-10-19 12:10:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
39,700.0,2025-10-19 12:16:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
40,910.0,2025-10-19 12:16:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
41,700.0,2025-10-19 12:16:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
42,700.0,2025-10-19 12:18:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
43,700.0,2025-10-19 12:20:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
45,700.0,2025-10-19 12:23:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
47,950.0,2025-10-19 12:24:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
