,transaction_id,total,at,payment_method,truck_name,truck_description,has_card_reader,fsa_rating
0,3,700.0,2025-10-19 09:29:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
1,5,700.0,2025-10-19 10:11:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
2,6,700.0,2025-10-19 10:20:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
3,10,940.0,2025-10-19 11:01:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
4,13,869.0,2025-10-19 11:12:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
5,14,700.0,2025-10-19 11:19:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
6,16,700.0,2025-10-19 11:23:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
7,17,700.0,2025-10-19 11:24:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
8,19,700.0,2025-10-19 11:31:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
9,21,700.0,2025-10-19 11:35:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
10,23,1019.0,2025-10-19 11:47:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
11,26,950.0,2025-10-19 11:54:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
12,28,700.0,2025-10-19 12:02:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
13,30,700.0,2025-10-19 12:04:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
14,31,860.0,2025-10-19 12:05:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
15,33,700.0,2025-10-19 12:08:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
16,34,700.0,2025-10-19 12:10:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
17,35,700.0,2025-10-19 12:10:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
18,39,700.0,2025-10-19 12:16:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
19,40,910.0,2025-10-19 12:16:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
20,41,700.0,2025-10-19 12:16:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
21,42,700.0,2025-10-19 12:18:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
22,43,700.0,2025-10-19 12:20:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
23,45,700.0,2025-10-19 12:23:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
